word,embedding
L_SHIPMODE,"[0.6678584814071655, 1.1153223514556885, 0.2671450078487396, -0.3865041434764862, 0.7607625126838684, -0.31765052676200867, 0.011271585710346699, -0.7227656841278076, 0.7452530860900879, -1.373634934425354, 0.34907442331314087, 0.22287726402282715, -0.0983709767460823, 0.550788938999176, -0.13433854281902313, 1.2619588375091553]"
L_SUPPKEY,"[0.1280217319726944, -0.2451784610748291, 1.3718862533569336, -0.10860547423362732, 2.1285462379455566, -2.405413866043091, 0.46230241656303406, 0.44887545704841614, 0.6844078302383423, -0.9158291816711426, 0.6139405369758606, 0.6662055253982544, 0.3758719265460968, 0.9165448546409607, 0.36100804805755615, 0.7451826930046082]"
MAX,"[0.39021018147468567, 0.15253221988677979, -0.013598388992249966, -0.24078711867332458, 0.3891381323337555, -0.4305553734302521, -0.7317488193511963, -0.045264795422554016, -0.1676296442747116, -1.006032109260559, -0.8146412372589111, -0.051101986318826675, -0.4082152545452118, 0.6385872960090637, -0.6577171087265015, 1.544182538986206]"
MIN,"[0.9073696732521057, 0.08552469313144684, -0.266324907541275, -0.34435853362083435, 0.38177716732025146, -0.7194116711616516, -1.1947880983352661, -0.278683066368103, -0.0993838682770729, -1.4818774461746216, -0.9279463887214661, 0.008573170751333237, -0.4479805827140808, 1.2064752578735352, -0.7112851142883301, 2.0839781761169434]"
MONTH,"[-1.112513780593872, 1.434207558631897, 0.8453669548034668, -0.07796765863895416, 1.4709861278533936, 0.5727975368499756, 0.04620598256587982, 0.03633390739560127, 0.22114092111587524, -0.7165967226028442, -0.49661344289779663, 1.3089680671691895, -0.7340984344482422, 0.5988539457321167, 0.11271245032548904, 0.6865745782852173]"
MOVIE_COMPANIES,"[-1.9251967668533325, 1.035758376121521, 1.3091470003128052, -0.34361377358436584, -0.5608612895011902, -1.288611888885498, -0.5190465450286865, -2.4901113510131836, 0.7276039719581604, 0.15580986440181732, 0.8605393767356873, 1.8115065097808838, -0.2467518448829651, 2.2010257244110107, -0.07759453356266022, 0.32666298747062683]"
MOVIE_ID,"[0.0722631886601448, -0.5318655967712402, 1.1447745561599731, 0.011758777312934399, 0.4245658814907074, -1.2337473630905151, -0.8066539764404297, -0.9839314222335815, 0.01050324272364378, 0.10993780195713043, 1.1480213403701782, 3.9838008880615234, 0.5312923192977905, 1.2996734380722046, 0.4134976863861084, 0.9133170247077942]"
MOVIE_INFO,"[-0.6286370754241943, -0.18219497799873352, 0.7882739901542664, -0.0930519849061966, -0.2563575506210327, -1.2058160305023193, -0.6579396724700928, -0.7270135283470154, 1.047029733657837, -0.1970169097185135, 0.9785645604133606, 1.6514019966125488, -1.519975185394287, 0.5969370603561401, 0.16803987324237823, 1.6534560918807983]"
MOVIE_INFO_IDX,"[-0.43329954147338867, -0.4808017611503601, 1.4880305528640747, -0.1414198875427246, 0.3243189752101898, -0.8383508324623108, -0.9138070344924927, -0.6395180225372314, 0.6616500020027161, 0.13563048839569092, 0.6292397975921631, 2.1393113136291504, -1.9541656970977783, -0.1254190355539322, 0.6412314176559448, 1.7953860759735107]"
MOVIE_KEYWORD,"[0.6791976690292358, -1.1149811744689941, 0.6342775225639343, -0.6349430680274963, -0.5015787482261658, -1.8735767602920532, -1.5138970613479614, -1.1151187419891357, -0.0021990558598190546, -0.2589551508426666, 1.0274230241775513, 2.1053178310394287, -0.39229029417037964, 1.2500766515731812, -0.2526601552963257, 1.1011202335357666]"
MOVIE_LINK,"[-0.9734827280044556, -0.9859051704406738, 1.4540965557098389, 0.4890331029891968, 0.043298907577991486, -0.7456021904945374, -1.435765266418457, -1.2697290182113647, -0.5796273946762085, 0.19890564680099487, 0.2774742841720581, 2.9872264862060547, -0.4202101528644562, 0.49125736951828003, -0.47131994366645813, 0.9900420308113098]"
N1,"[-0.08764069527387619, 0.03577806055545807, 0.5966288447380066, 0.8127399682998657, 0.6235030293464661, -1.1712037324905396, -0.28589048981666565, 1.2131552696228027, 0.6325913071632385, -1.6163450479507446, 0.9212807416915894, 0.7783175706863403, 1.0138869285583496, 1.8145301342010498, -0.02146543189883232, 0.578037679195404]"
N2,"[0.21689897775650024, -0.11568614840507507, 0.3990034759044647, 0.06257808953523636, 1.1392147541046143, -1.1057486534118652, -0.5945483446121216, 1.2884621620178223, 0.8519017100334167, -1.6721163988113403, 1.262259840965271, 0.7259443998336792, 0.9924453496932983, 1.9699474573135376, 0.15171432495117188, 0.4718416631221771]"
NAME,"[-1.9534200429916382, 1.6485114097595215, -0.24415190517902374, 0.5443981885910034, 0.44412195682525635, -0.6746729612350464, -1.8991800546646118, -0.056567780673503876, -0.7160739302635193, 0.03745930641889572, 0.16800107061862946, 0.7954013347625732, 0.4108072817325592, 2.5019800662994385, 0.9104689955711365, 1.7251263856887817]"
NAME_PCODE_CF,"[-0.4880044460296631, 1.2642649412155151, 0.33037012815475464, 0.21618494391441345, -0.08525950461626053, -0.15962250530719757, -0.4965796172618866, -0.302904337644577, -0.6396843791007996, -0.7624731063842773, -0.4436572194099426, 0.6481815576553345, -0.06694173067808151, 0.49765774607658386, 1.1922907829284668, 0.9624533653259277]"
NATION,"[0.6488151550292969, -0.4268919825553894, 0.37124669551849365, -0.4160415828227997, 2.0186197757720947, -1.5170060396194458, -0.3996162712574005, -1.1731523275375366, 0.9561141133308411, -1.36962890625, -1.05510413646698, 0.4462421238422394, -1.149880290031433, 0.19631023705005646, -0.7266809940338135, 0.888490617275238]"
NOT,"[0.1959143579006195, 0.43055856227874756, -1.036804437637329, -0.12593600153923035, 1.4073207378387451, -1.0125586986541748, 0.14647984504699707, -0.5405258536338806, -0.9218859672546387, -0.3156164288520813, -0.4304685890674591, 1.5812996625900269, 0.40627041459083557, 0.9692044258117676, 0.47212526202201843, 2.885638952255249]"
NOTE,"[-1.1374258995056152, -0.014316710643470287, -0.26174789667129517, -0.31326672434806824, 1.611862301826477, -0.8519815802574158, -0.5786046385765076, -2.076610565185547, -0.46075716614723206, -0.36923858523368835, 0.7920644879341125, 1.1565003395080566, -1.6664069890975952, 2.7343637943267822, 0.4404558539390564, 1.474252462387085]"
N_NAME,"[0.5809184312820435, 0.343219131231308, 0.30484819412231445, -0.21281008422374725, 1.135493516921997, -1.076353669166565, -0.8397020101547241, 0.8557838201522827, 1.366897702217102, -1.740827202796936, 1.5330908298492432, 0.6163526177406311, 0.9847180843353271, 2.5788042545318604, 0.6234406232833862, 1.015112042427063]"
N_NATIONKEY,"[-0.5879158973693848, -0.8641378879547119, 0.6231142282485962, 1.2356717586517334, 1.5698248147964478, -1.3277263641357422, -0.49178388714790344, 1.2649661302566528, 1.3715265989303589, -1.945694088935852, 0.9219388961791992, 1.1260919570922852, 0.5729826092720032, 1.4951090812683105, -0.02450517751276493, 0.5749784111976624]"
N_REGIONKEY,"[-0.47818344831466675, -0.24701616168022156, 0.9450134634971619, 1.1278269290924072, 0.6740771532058716, -0.907326340675354, -0.4794236123561859, 1.06583571434021, 0.9719142317771912, -2.34220290184021, 0.6244572997093201, 0.9890472888946533, 1.3260512351989746, 0.42672592401504517, -0.4416252076625824, 0.8419198393821716]"
ON,"[0.8115357160568237, 0.008601493202149868, 0.06589481234550476, 0.8694487810134888, 0.6350886821746826, -1.0295860767364502, -2.2873971462249756, -0.7346657514572144, -0.716887891292572, -2.018838405609131, -0.8234260678291321, 1.2199245691299438, -0.9273537397384644, -0.4872846305370331, 0.07319234311580658, -0.4694523811340332]"
OR,"[-0.11297181993722916, 1.2437293529510498, -0.6218623518943787, -0.5123414993286133, 0.4861648380756378, 0.4532749056816101, 0.22287262976169586, -1.1935921907424927, 0.34017080068588257, -1.2117618322372437, 0.01595122367143631, 1.003993272781372, 1.282989263534546, 2.412722110748291, 0.9519727230072021, 1.711665391921997]"
ORDER,"[-0.024874569848179817, 0.1201363205909729, 0.2604025602340698, 0.04557348042726517, 0.5765005350112915, -0.1931801587343216, -0.5229159593582153, 0.12218209356069565, -0.11792118102312088, -0.66273432970047, -0.6667647361755371, 0.418855756521225, -0.21741987764835358, 0.2791702449321747, -0.3387100100517273, 0.2838202118873596]"
ORDERS,"[0.19644682109355927, -0.21969406306743622, 0.3295608460903168, -0.11113638430833817, 0.7219138741493225, -0.42666661739349365, -0.5121034979820251, 0.2177228033542633, -0.16592524945735931, -0.5646857619285583, -0.78505939245224, -0.0029412670992314816, 0.03231000527739525, 0.2718820571899414, -0.42639946937561035, 0.6600641012191772]"
OWNERUSERID,"[-1.2275875806808472, -0.11173801124095917, 2.0033693313598633, -0.7838239073753357, 0.3338180482387543, 0.06355386972427368, -1.807707667350769, 0.18848629295825958, 0.13627445697784424, -0.433342307806015, 0.1500929743051529, 0.9977046251296997, 0.5533755421638489, 0.4388744533061981, 0.11504514515399933, -0.10080122202634811]"
O_COMMENT,"[-0.26217901706695557, -0.03659101575613022, -0.07484876364469528, 0.135313481092453, 0.7680619955062866, -0.3325778841972351, -0.2907990515232086, 0.3474941551685333, -0.11354311555624008, -0.46278151869773865, -0.510405957698822, 0.1558765321969986, 0.1930672973394394, 0.6580814123153687, -0.3834433853626251, 0.5086517930030823]"
O_CUSTKEY,"[-0.18599537014961243, -0.1391647309064865, 0.8065544366836548, 0.7607566118240356, 1.6506024599075317, -0.4425155222415924, -1.1683852672576904, 1.4488738775253296, 1.8020650148391724, -1.6877270936965942, -0.19657602906227112, -0.21460893750190735, 0.5317007899284363, 0.2640775740146637, 0.0031566328834742308, 1.494574785232544]"
O_ORDERDATE,"[-0.9676266312599182, 1.1713238954544067, 1.5316804647445679, 0.3869178891181946, 1.513594627380371, 0.024019451811909676, 0.44301632046699524, 0.9955636262893677, 0.6350054144859314, -1.2325321435928345, -0.5281361937522888, 1.290817379951477, 0.8154410719871521, -0.29120224714279175, 0.3183205723762512, 1.8091638088226318]"
O_ORDERKEY,"[-0.8636227250099182, -0.4789705276489258, 1.1833395957946777, 0.2426586151123047, 1.0563604831695557, -1.2933762073516846, -0.2009885609149933, 0.8302927017211914, 0.5329936146736145, -1.4931553602218628, 0.2332434505224228, -0.38716307282447815, 0.5917139649391174, -0.03693804889917374, -0.6995753049850464, 1.8874890804290771]"
O_ORDERSTATUS,"[-0.1546507626771927, 0.3134089410305023, -0.04077036306262016, 0.3937860131263733, 0.5661859512329102, -0.11273212730884552, -0.3713248670101166, -0.4370778203010559, 0.3239169418811798, -0.3822765648365021, -0.1190052404999733, 0.4197540879249573, -0.17227695882320404, 0.164588063955307, 0.25716644525527954, 0.3397112786769867]"
PART,"[0.006752579007297754, -0.14733712375164032, 0.25987401604652405, -0.037001095712184906, 1.0746705532073975, -0.6163665652275085, -0.2439594566822052, -0.13354909420013428, -0.06372509151697159, -0.7009907960891724, -1.0057493448257446, 0.0693170353770256, -0.11692716926336288, 0.24751003086566925, -0.6113669872283936, 0.7601438164710999]"
PARTSUPP,"[0.8837440013885498, -0.24238821864128113, -0.06422965228557587, -0.5856093764305115, 1.3299156427383423, -1.4809218645095825, -0.6147949695587158, -0.8478232026100159, 0.4182271361351013, -1.3331509828567505, -1.1356388330459595, 0.1782212108373642, -0.9775136709213257, 0.7359757423400879, -0.8214365243911743, 1.3066788911819458]"
PERSON_ID,"[-1.5465598106384277, -0.16608186066150665, 0.31805160641670227, 0.09891999512910843, -0.08951028436422348, -1.3264257907867432, -2.7348427772521973, 0.26243847608566284, -1.507176399230957, -0.41948360204696655, 0.5564237236976624, 1.5662319660186768, 0.4096166491508484, 1.8187425136566162, 1.3067200183868408, 2.223264455795288]"
PERSON_INFO,"[-1.686404824256897, 0.6067503094673157, 0.1246623545885086, 0.21625863015651703, -0.5418749451637268, -0.9145252108573914, -1.676676630973816, -0.10876048356294632, -0.3426637053489685, -0.46649304032325745, 0.8462074398994446, 1.681351661682129, -1.1965965032577515, 0.3905624449253082, 0.6362527012825012, 1.3597195148468018]"
PERSON_ROLE_ID,"[-0.8102302551269531, -0.7619643807411194, 1.0534348487854004, 0.31540682911872864, -0.379557341337204, -0.4898528754711151, -1.3306299448013306, 0.17181552946567535, -0.4827040731906891, -0.09586240351200104, -0.258531391620636, 1.5026236772537231, 0.3269352912902832, 1.110526442527771, 0.9847209453582764, 1.2955538034439087]"
POSTHISTORY,"[-0.592337965965271, 0.16821999847888947, 1.7720704078674316, -1.419967770576477, 0.41447874903678894, -0.317922979593277, -2.63083815574646, 0.44472816586494446, 0.337503045797348, -0.391243040561676, 0.1920223832130432, 1.2721502780914307, 0.9818422198295593, -0.14561136066913605, 0.13263645768165588, 0.3511127233505249]"
POSTHISTORYTYPEID,"[-0.05577532574534416, -0.28919553756713867, 1.0210226774215698, -0.5126586556434631, 0.18602152168750763, 0.2741084098815918, -0.8084630370140076, 0.33151450753211975, 0.293667197227478, -0.49188750982284546, -0.1261654645204544, 0.4036802649497986, 0.39293989539146423, 0.33204779028892517, 0.08582514524459839, 0.1290162205696106]"
POSTID,"[-0.6744784712791443, -1.0744884014129639, 2.763655662536621, -0.7692375779151917, -0.45101112127304077, -0.05411626026034355, -2.574889898300171, -0.2401779592037201, 0.4828372895717621, -0.6097530126571655, 0.3118685781955719, 1.0105270147323608, 1.0965602397918701, 1.4157644510269165, -0.4356265068054199, 0.70323246717453]"
POSTLINKS,"[0.29046308994293213, 0.7201276421546936, 1.5383590459823608, -1.1961809396743774, -0.24074634909629822, 0.11172210425138474, -2.617187261581421, -0.0586288757622242, 0.7688441872596741, -0.35434043407440186, 0.36287134885787964, 0.9826865196228027, 1.030393123626709, 0.3581417500972748, -0.8495928645133972, 0.7490114569664001]"
POSTS,"[0.3097932040691376, -0.15565766394138336, 2.098921537399292, -1.6318103075027466, 0.8533620834350586, 1.5516263246536255, -2.5091030597686768, 0.15545432269573212, 1.236657738685608, -0.44423744082450867, -0.011125793680548668, 0.8579345345497131, 0.7356662750244141, 1.0732635259628296, 0.6524357199668884, 0.9021192193031311]"
POSTTYPEID,"[-0.05922546982765198, 0.33890092372894287, 0.9326055645942688, -0.2918297350406647, 0.06339622288942337, 0.31576573848724365, -0.8007542490959167, 0.1738327592611313, 0.053204942494630814, -0.4321230351924896, -0.09489638358354568, 0.4529992640018463, 0.5011497139930725, 0.20993046462535858, -0.15533851087093353, 0.041312988847494125]"
PRODUCTION_YEAR,"[0.9348645210266113, 1.6034590005874634, 2.7589125633239746, 0.07327284663915634, -0.24661776423454285, -1.3179852962493896, -0.49878621101379395, -0.4126369059085846, -0.21187366545200348, -0.14372065663337708, 0.2681834399700165, 1.357804775238037, -0.12167391926050186, 0.885148823261261, 0.870920717716217, 1.1372909545898438]"
PROFIT,"[-0.5142617225646973, 0.18317735195159912, 0.13376562297344208, 0.5780937075614929, 1.7780566215515137, -1.1495789289474487, 0.3132041096687317, 0.19485445320606232, 0.05294714495539665, -1.1567939519882202, -0.6663035750389099, 0.14183470606803894, 0.48590803146362305, 0.7740204334259033, -0.4444008767604828, 0.821748673915863]"
PROMOTIONAL_SALES,"[0.33512040972709656, 1.2250211238861084, 0.06675871461629868, -0.7215933799743652, 0.7852970957756042, -0.28631392121315, -0.4358321726322174, -0.036700885742902756, 0.28390592336654663, -1.8209739923477173, -0.882121741771698, -0.0064848545007407665, -0.21616235375404358, 0.28491508960723877, -1.0397862195968628, 1.1824305057525635]"
PS_AVAILQTY,"[0.05987023934721947, 0.2510628402233124, 0.40786030888557434, -0.15466000139713287, 0.4670681655406952, -0.2456718236207962, -0.12513408064842224, -0.07269348949193954, -0.26019486784935, -0.42078515887260437, -0.4288606643676758, -0.03574790805578232, -0.10948391258716583, 0.5011430978775024, -0.3143443763256073, 0.7087385058403015]"
PS_PARTKEY,"[-0.039052173495292664, -1.0203551054000854, 0.46162140369415283, 0.7983466982841492, 2.7283685207366943, -1.4848963022232056, -0.023212729021906853, -0.2827085256576538, 0.9649050831794739, -1.5835745334625244, -0.42152562737464905, 0.5331692099571228, 0.6013968586921692, 0.22502170503139496, -0.6580876708030701, 1.3820637464523315]"
PS_SUPPKEY,"[-0.7956550717353821, -1.096124529838562, 0.06285443156957626, 0.30647188425064087, 1.8887320756912231, -1.268442153930664, 0.2824670076370239, 0.07388214766979218, 0.2801230847835541, -1.609787940979004, 0.34578272700309753, 0.5683555006980896, 0.6643465161323547, 0.8594633936882019, -1.095777153968811, 2.045215368270874]"
PS_SUPPLYCOST,"[0.963854193687439, 0.011395053006708622, -0.2189847081899643, -0.1564161330461502, 0.7723463773727417, -0.7348122596740723, -1.464985728263855, -0.4076553285121918, 0.03617957979440689, -1.4792572259902954, -0.7905437350273132, -0.16370132565498352, -0.7467313408851624, 1.0603933334350586, -0.7205051183700562, 2.391702175140381]"
P_BR,"[0.015829823911190033, 0.02104134112596512, -0.0482998862862587, -0.015408255159854889, 0.036313436925411224, 0.01483934372663498, -0.04545377194881439, -0.057488128542900085, 0.010151386260986328, -0.004784107208251953, 0.05763143301010132, 0.0027813613414764404, 0.05393608659505844, -0.0357092022895813, -0.006582804024219513, -0.04504704475402832]"
P_BRAND,"[0.07587948441505432, 0.026857443153858185, 0.12390036135911942, 0.2476506382226944, 0.8809318542480469, -0.49709218740463257, -0.019183563068509102, -0.19017714262008667, 0.5008279085159302, -0.8689141869544983, -0.2827569246292114, 0.11741454154253006, 0.20437033474445343, 0.20457328855991364, -0.3082920014858246, 0.3801310360431671]"
P_CHANNEL_DMAIL,"[0.03304220363497734, 1.1278232336044312, -0.2304006963968277, 0.6281958818435669, 0.72901850938797, 0.01623736135661602, -0.7184537053108215, -1.062591791152954, 0.2955908179283142, -1.485737681388855, -0.2907903790473938, 0.2756483256816864, 0.25404658913612366, 1.4257113933563232, 0.2301107943058014, -0.10867409408092499]"
P_CHANNEL_EMAIL,"[-0.08034467697143555, 1.0343408584594727, -0.5645617246627808, 0.7262338399887085, 0.7527325749397278, 0.10263143479824066, -0.949083149433136, -1.47873055934906, 0.22176218032836914, -1.8505198955535889, 0.24075724184513092, 0.744088888168335, -0.11531881242990494, 1.9821314811706543, 0.5083269476890564, 0.09313413500785828]"
P_CHANNEL_EVENT,"[-0.14400728046894073, 0.9672374725341797, -0.3935653865337372, 0.4936603903770447, 0.8648515343666077, -0.22379432618618011, -0.7705885171890259, -1.1432796716690063, 0.05532344803214073, -1.3161259889602661, 0.24127790331840515, 0.5217258334159851, -0.2752702236175537, 1.7606067657470703, 0.49524298310279846, 0.15078210830688477]"
P_CHANNEL_TV,"[-0.07411819696426392, 1.1615734100341797, -0.22310811281204224, 0.40768808126449585, 0.8631774187088013, -0.1545313596725464, -0.6718882918357849, -1.1406675577163696, 0.26563549041748047, -1.360925555229187, -0.13657806813716888, 0.3727917969226837, 0.15026549994945526, 1.3335503339767456, 0.37372565269470215, -0.31283244490623474]"
P_CONTAINER,"[0.18851858377456665, 0.2615037262439728, 0.09055787324905396, 0.06756635755300522, 0.7704033851623535, -0.33022379875183105, -0.04351247474551201, -0.37410399317741394, 0.5640618801116943, -0.8409936428070068, -0.13350962102413177, 0.0695110410451889, -0.05008815973997116, 0.24161550402641296, -0.21025191247463226, 0.5692924857139587]"
P_NAME,"[-0.2921447157859802, 0.6589378714561462, 0.08659990131855011, 0.3028664290904999, 1.6583415269851685, -0.5883933305740356, 0.023898117244243622, -0.06951670348644257, -0.3325330317020416, -0.5586415529251099, -0.9201252460479736, 0.18970447778701782, 0.10395213216543198, 0.9409010410308838, -0.7000719904899597, 1.0802357196807861]"
P_PARTKEY,"[0.005160366650670767, -0.6019124984741211, 0.48496031761169434, 0.46867066621780396, 2.4937591552734375, -1.1118181943893433, -0.06691005825996399, -0.3325234055519104, 1.1629563570022583, -1.3070812225341797, -0.3975037932395935, 0.3822896480560303, 0.8804337382316589, 0.41469794511795044, -1.2387707233428955, 0.9533622860908508]"
P_PROMO_SK,"[-0.6689373850822449, -0.17076298594474792, 1.0351858139038086, 1.0484179258346558, 0.503083348274231, 0.4439796209335327, -0.8171690106391907, -0.49323877692222595, -0.02639099955558777, -0.8228687644004822, -0.808554470539093, 1.1718363761901855, 0.19519928097724915, -0.5356898903846741, -0.610791027545929, 0.12048228830099106]"
P_SIZE,"[0.7288550138473511, 1.2465026378631592, 0.771340548992157, -0.638479471206665, 0.9266170859336853, 0.209494486451149, 0.16974268853664398, -0.8052329421043396, 0.9250063896179199, -1.316911220550537, 0.3756846487522125, 0.2137809842824936, 0.012346643954515457, 0.4290679097175598, -0.09325314313173294, 1.4225387573242188]"
P_TYPE,"[-0.29673561453819275, 0.7256233096122742, -0.121205173432827, 0.36046701669692993, 1.4857712984085083, -0.2253396064043045, 0.0060646249912679195, 0.24037452042102814, -0.26656574010849, -0.44546350836753845, -0.5597034692764282, 0.687471866607666, 0.4933941960334778, 1.3400819301605225, -0.919751763343811, 1.431925654411316]"
REGION,"[0.4920356273651123, -0.6135578751564026, 0.35716626048088074, -0.09242105484008789, 2.2402400970458984, -1.3795974254608154, -0.37072697281837463, -0.9591014981269836, 1.1851621866226196, -1.2852600812911987, -0.9957777857780457, 0.4918658137321472, -0.8363805413246155, 0.09108927845954895, -0.8118074536323547, 0.7305868864059448]"
RELATEDPOSTID,"[-0.3809898793697357, -0.29645824432373047, 1.4053654670715332, -0.2888544499874115, -0.3903828561306, 0.38710033893585205, -1.6291056871414185, 0.17626965045928955, 0.3707926869392395, -0.4474407732486725, -0.18133988976478577, 0.8275614380836487, 0.39152267575263977, 0.5911279916763306, -0.3492235839366913, 0.5374396443367004]"
REPUTATION,"[-0.30618518590927124, 0.2576371431350708, 1.4420676231384277, -0.6110866069793701, 0.26435133814811707, 0.4602414071559906, -0.6732112765312195, 0.4800761938095093, 0.06915588676929474, -0.6267927885055542, -0.39571529626846313, 0.5271911025047302, 0.22920075058937073, 0.13993118703365326, 0.3119574785232544, 0.2991965413093567]"
REVENUE0,"[0.28612491488456726, 0.2623600363731384, 0.2872820198535919, -0.3210586905479431, 0.5433623790740967, -0.5352751016616821, -0.5307884812355042, -0.15403294563293457, -0.2541559040546417, -0.849372148513794, -0.7361422181129456, -0.2485380917787552, -0.4471201002597809, 0.5495964884757996, -0.5647354125976562, 1.0109553337097168]"
ROLE,"[-1.3999700546264648, -0.03843483328819275, 1.1488059759140015, 1.4806973934173584, 0.6135780215263367, 0.27665817737579346, -1.0955235958099365, -0.5383442640304565, 0.4558591842651367, -0.8866999745368958, -0.13422346115112305, 0.8162526488304138, -1.5681159496307373, 1.1412732601165771, 1.4868730306625366, 0.4168332517147064]"
ROLE_ID,"[-1.4101179838180542, -0.9721053838729858, 1.7308952808380127, 0.8956609964370728, 0.29895123839378357, 0.11283865571022034, -1.4498357772827148, -0.07778013497591019, -0.1744946986436844, -0.41203686594963074, 0.11494987457990646, 1.063916802406311, -0.8527950048446655, 2.040182590484619, 1.208565354347229, 0.836630642414093]"
ROLE_TYPE,"[-1.3860292434692383, -0.4302418529987335, 1.2454742193222046, 1.3767261505126953, 0.5818545818328857, -1.2080626487731934, -0.6889557838439941, 0.5915869474411011, 1.1878215074539185, -0.4156285226345062, 0.4198269248008728, 1.6391383409500122, -0.6454215049743652, 2.4099020957946777, 2.559858560562134, 1.6419459581375122]"
R_NAME,"[0.3708314001560211, 0.5344436168670654, 1.0277233123779297, 0.9885750412940979, 1.2224681377410889, -0.7302957773208618, -0.39121875166893005, 1.0378972291946411, 0.8271239995956421, -1.5457851886749268, 0.5692178010940552, 0.4912807047367096, 1.068122386932373, 0.3724961578845978, -0.3469538390636444, 0.5731896758079529]"
R_REGIONKEY,"[-0.007014923263341188, 0.34761327505111694, 1.213575839996338, 1.6293001174926758, 0.6962542533874512, -1.2512445449829102, -0.07591113448143005, 0.8192754983901978, 0.8072568774223328, -1.751729965209961, 0.5410792231559753, 1.2984498739242554, 1.5714809894561768, 0.7461586594581604, -0.27613499760627747, 0.8039981126785278]"
SCORE,"[0.13861240446567535, 0.7510350346565247, 2.348144292831421, -0.3936014771461487, 0.3283753991127014, 0.705203115940094, -1.3907644748687744, 0.011020389385521412, 0.2541470229625702, -0.506237804889679, -0.33586740493774414, 0.748100757598877, 1.1160259246826172, 1.2834506034851074, 0.3869629502296448, -0.11346877366304398]"
SELECT,"[0.5807113647460938, 0.3819916844367981, 0.14804095029830933, -0.15650855004787445, -0.1444212645292282, -1.612007975578308, -0.32120266556739807, 0.3340488076210022, -0.20380865037441254, -0.9342049956321716, -0.7910913825035095, 0.6590216159820557, -0.24111278355121613, 0.21571150422096252, -1.0265623331069946, 2.618304491043091]"
SHIPPING,"[-0.4860396683216095, 0.24960118532180786, 0.580360472202301, 0.33695709705352783, 1.4695872068405151, -0.5621240735054016, -0.10196155309677124, 1.1932868957519531, 0.2619854509830475, -1.9628238677978516, -0.2794778347015381, -0.13573484122753143, 0.5865635871887207, 1.0604912042617798, -0.2310604453086853, 0.7157856225967407]"
SR_CUSTOMER_SK,"[-0.6085076928138733, -0.3168765902519226, 0.8246217966079712, 0.5950543880462646, 0.2378728836774826, -1.6271686553955078, -2.8150861263275146, -0.21044762432575226, 0.37577471137046814, -2.373661756515503, -0.4464323818683624, -0.7593412399291992, 0.8471115827560425, 0.940360426902771, 0.7264928817749023, -0.17274616658687592]"
SR_ITEM_SK,"[-0.13836143910884857, -0.3813210427761078, 0.9710274934768677, 0.37661275267601013, 0.5454650521278381, -1.4409773349761963, -2.757709264755249, -0.08791492134332657, 0.20274414122104645, -2.4373106956481934, -0.6516003012657166, -0.4939229488372803, 1.3705029487609863, 0.7946568727493286, 1.4859100580215454, -0.047925740480422974]"
SR_RETURNED_DATE_SK,"[0.030197910964488983, 0.039481066167354584, 0.10118070244789124, -0.0690390095114708, 0.029866952449083328, -0.04036196321249008, -0.1203654557466507, 0.014142978005111217, -0.050803042948246, -0.10496243089437485, -0.016610683873295784, 0.08405468612909317, 0.053576283156871796, -0.03928585350513458, 0.025136657059192657, 0.01791384257376194]"
SR_TICKET_NUMBER,"[-0.05731983855366707, -0.40627533197402954, 0.8851582407951355, 0.6853595972061157, 0.2982185482978821, -1.3773891925811768, -2.043328046798706, -0.22697292268276215, 0.05114566162228584, -1.791809320449829, -0.918603777885437, -0.019975975155830383, 1.2828885316848755, 0.24712306261062622, 0.9160951972007751, 0.2778043746948242]"
SS_ADDR_SK,"[0.22436515986919403, -0.9936873912811279, 0.19721299409866333, 0.6489575505256653, 0.48315754532814026, -0.03486306220293045, -1.380101203918457, -0.4413161873817444, -0.2214251011610031, -1.5723844766616821, -0.18444304168224335, 1.4269675016403198, -0.013991274870932102, 0.018785063177347183, -0.7431274056434631, 0.24662522971630096]"
SS_CDEMO_SK,"[0.2652297616004944, -0.5205549597740173, 1.1474826335906982, 0.6277270913124084, 0.5510953068733215, -0.10142040997743607, -0.969612181186676, -0.22839413583278656, -0.6220142245292664, -0.9990038871765137, -0.4741547405719757, 1.1508733034133911, 0.06816317141056061, -0.17888447642326355, -0.2123558521270752, -0.45835110545158386]"
SS_COUPON_AMT,"[-0.2642696797847748, 1.3651437759399414, 0.6512900590896606, 0.08477499336004257, 0.5232667922973633, 0.07330260425806046, 0.11363322287797928, -0.09035419672727585, -0.19499292969703674, -1.0023820400238037, -0.1051042303442955, 0.31151077151298523, 0.09365943819284439, 0.7191183567047119, 0.2632371485233307, 0.3843715488910675]"
SS_CUSTOMER_SK,"[-1.1317148208618164, -0.5181897282600403, 0.2216237187385559, -0.1344989687204361, 1.4935739040374756, -0.5556434392929077, -2.9875588417053223, -1.6082383394241333, -1.7898300886154175, -1.9789435863494873, -1.0620701313018799, 0.4489368200302124, 0.6701297760009766, -0.02207338437438011, 1.2670167684555054, -0.013417252339422703]"
